Flood,Aspect,CTI,Curvature,DEM,Distance_river,Distance_road,Landuse2005,Rainfall2005,Slope,SPI,TWI
No,0.205531,0.293908,0.6945640000000001,0.011393,0.08046299999999999,0.187344,0.0,0.21993600000000002,0.017594,4e-06,0.293908
Yes,0.9210780000000001,0.340528,0.696028,0.005034,0.012107,0.039288,0.5,0.177798,0.003747,0.0,0.340528
Yes,0.10595999999999998,0.42361499999999996,0.695846,0.004982,0.078444,0.039483,0.0,0.22510300000000003,0.002761,2e-06,0.42361499999999996
Yes,0.151032,0.309856,0.696185,0.003251,0.012665000000000001,0.028385000000000004,1.0,0.23985,0.004939,0.0,0.309856
Yes,0.137657,0.319844,0.696055,0.0032649999999999997,0.013408000000000002,0.026422,1.0,0.23985,0.005934,1e-06,0.319844
Yes,0.21139499999999997,0.198154,0.698704,0.004593,0.028707999999999997,0.016825,1.0,0.211617,0.029523,0.0,0.198154
No,0.75976,0.14683,0.6995140000000001,0.250445,0.090737,0.41592700000000005,0.25,0.307841,0.594003,0.000279,0.14683
No,0.836615,0.11706300000000001,0.703624,0.304271,0.12106900000000001,0.43321400000000004,0.25,0.307841,0.669376,0.000193,0.11706300000000001
No,0.782068,0.128,0.6822229999999999,0.27204,0.105859,0.423612,0.25,0.307841,0.64554,0.000227,0.128
No,0.9063389999999999,0.18395999999999998,0.695944,0.34880900000000004,0.136174,0.445201,0.25,0.32915,0.649281,0.000916,0.18395999999999998
No,0.916466,0.127841,0.697203,0.413828,0.14233099999999999,0.456089,0.25,0.32915,0.64693,0.00022799999999999999,0.127841
No,0.923701,0.133212,0.6846810000000001,0.384858,0.127185,0.470293,0.25,0.32915,0.599857,0.000202,0.133212
No,0.010688,0.14859,0.700023,0.371312,0.122624,0.47902799999999995,0.25,0.32915,0.666517,0.00043099999999999996,0.14859
